# File: IO_detailed_industry.csv
# Title: Detailed industry coefficient
# Units: GJ/kg or GJ/GJ
# Description: Input-output data are calculated based on historical energy consumption sourced from the MEIC-HR emission inventory. The energy consumption data could not be used directly due to the inconsistency between IEA data(used in GCAM) and China's energy statistics, so the energy consumption share was used to allocate.
# Column types: cnccccnnn
# ----------
province,year,supplysector,subsector,technology,minicam.energy.input,coefficient,production,energy.input
SC,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
SD,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
SH,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
SN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
SX,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
TJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
XJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
XZ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
YN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
ZJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,0.000191592,0,0
AH,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
BJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
CQ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
FJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GD,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GS,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GX,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GZ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HA,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HB,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HE,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HI,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HL,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HN,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JL,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JS,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JX,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
LN,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NM,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NX,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
QH,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SC,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SD,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SH,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SN,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SX,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
TJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XZ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
YN,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
ZJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
AH,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
BJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
CQ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
FJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GD,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GS,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GX,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GZ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HA,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HB,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HE,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HI,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HL,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HN,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JL,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JS,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JX,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
LN,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NM,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NX,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
QH,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SC,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SD,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SH,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SN,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SX,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
TJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XZ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
YN,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
ZJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
AH,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
BJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
CQ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
FJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GD,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GS,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GX,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GZ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HA,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HB,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HE,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HI,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HL,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HN,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JL,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JS,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JX,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
LN,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NM,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NX,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
QH,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SC,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SD,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SH,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SN,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SX,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
TJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XZ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
YN,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
ZJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
AH,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,2.41E-05,0,0
BJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
CQ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,1.24E-05,0,0
FJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GD,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GS,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
GX,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,4.54E-05,0,0
GZ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HA,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000572,0,0
HB,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HE,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,1.33E-05,0,0
HI,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,3.77E-05,0,0
HL,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
HN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,4.71E-05,0,0
JL,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
JS,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000628,0,0
JX,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,2.15E-05,0,0
LN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
NM,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,5.72E-05,0,0
NX,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
QH,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SC,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,6.59E-05,0,0
SD,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SH,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
SN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,6.46E-06,0,0
SX,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,8.68E-06,0,0
TJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
XZ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000746,0,0
YN,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.0000483,0,0
ZJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,4.80E-05,0,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
CQ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
FJ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
GD,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
GS,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
GX,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
GZ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HA,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HB,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HE,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HI,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HL,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
HN,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
JL,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
JS,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
JX,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
LN,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
NM,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
NX,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
QH,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
SC,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
SD,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
SH,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
SN,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
SX,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
TJ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
XJ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
XZ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
YN,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
ZJ,2015,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,0.007020795,0,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,1.70E-05,0,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
CQ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,8.71E-06,0,0
FJ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
GD,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
GS,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
GX,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,3.19E-05,0,0
GZ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
HA,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000402,0,0
HB,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
HE,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,9.35E-06,0,0
HI,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,2.65E-05,0,0
HL,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
HN,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,3.31E-05,0,0
JL,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
JS,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000441,0,0
JX,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,1.51E-05,0,0
LN,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
NM,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,4.02E-05,0,0
NX,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
QH,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
SC,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,4.63E-05,0,0
SD,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
SH,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
SN,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,4.54E-06,0,0
SX,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,6.09E-06,0,0
TJ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
XJ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
XZ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000524,0,0
YN,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.0000339,0,0
ZJ,2015,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,3.37E-05,0,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.006890413,0,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
CQ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
FJ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007522536,0,0
GD,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.00718303,0,0
GS,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007065354,0,0
GX,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
GZ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
HA,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007156762,0,0
HB,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
HE,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007822495,0,0
HI,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
HL,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.005815589,0,0
HN,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.006125935,0,0
JL,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
JS,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.00519135,0,0
JX,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.004743708,0,0
LN,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.004324808,0,0
NM,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
NX,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
QH,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
SC,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
SD,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
SH,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
SN,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.006824986,0,0
SX,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
TJ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007298384,0,0
XJ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.00395472,0,0
XZ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0.00E+00,0
YN,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.009446812,0,0
ZJ,2015,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.007350959,0,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
CQ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
FJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
GD,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
GS,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
GX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
GZ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HA,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HB,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HE,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HI,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HL,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
HN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
JL,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
JS,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
JX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
LN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
NM,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
NX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
QH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
SC,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
SD,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
SH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
SN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
SX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
TJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
XJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
XZ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
YN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
ZJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,0.007020795,0,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,1.70E-05,0,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
CQ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,8.71E-06,0,0
FJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
GD,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
GS,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
GX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,3.19E-05,0,0
GZ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
HA,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000402,0,0
HB,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
HE,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,9.35E-06,0,0
HI,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,2.65E-05,0,0
HL,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
HN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,3.31E-05,0,0
JL,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
JS,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000441,0,0
JX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,1.51E-05,0,0
LN,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
NM,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,4.02E-05,0,0
NX,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
QH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
SC,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,4.63E-05,0,0
SD,2015,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.0000524,0,0
